State,Year,suicide_rate,Total,male_suicides,female_suicides
A & N Islands,2001,35.93314763,129,79,50
Andhra Pradesh,2001,13.74670116,10522,6379,4143
Arunachal Pradesh,2001,10,111,76,35
Assam,2001,9.850035351,2647,1836,811
Bihar,2001,0.714581975,603,307,296
Chandigarh,2001,7.600434311,70,39,31
Chhattisgarh,2001,19.19500215,4025,2640,1385
D & N Haveli,2001,21.92982456,50,35,15
Daman & Diu,2001,8.536585366,14,10,4
Delhi (Ut),2001,8.756183746,1239,730,509
Goa,2001,18.82352941,256,167,89
Gujarat,2001,9.330269333,4791,2649,2142
Haryana,2001,9.349233708,2007,1364,643
Himachal Pradesh,2001,5.007339749,307,177,130
Jammu & Kashmir,2001,1.486735983,153,91,62
Jharkhand,2001,0.916724726,250,141,109
Karnataka,2001,22.28202772,11881,7871,4010
Kerala,2001,29.93869636,9572,6787,2785
Lakshadweep,2001,0,0,0,0
Madhya Pradesh,2001,11.23577103,6860,3536,3324
Maharashtra,2001,14.92759839,14618,9338,5280
Manipur,2001,1.880733945,41,24,17
Meghalaya,2001,3.697407565,87,69,18
Mizoram,2001,6,54,46,8
Nagaland,2001,1.949317739,40,25,15
Odisha,2001,10.92801856,4052,2089,1963
Puducherry,2001,53.97959184,529,323,206
Punjab,2001,2.631472081,648,396,252
Rajasthan,2001,5.569112777,3195,1959,1236
Sikkim,2001,17.02898551,94,62,32
Tamil Nadu,2001,17.99432597,11290,7128,4162
Tripura,2001,26.63755459,854,463,391
Uttar Pradesh,2001,2.08725386,3516,1801,1715
West Bengal,2001,16.95797049,13690,7495,6195
A & N Islands,2002,38.70967742,144,91,53
Andhra Pradesh,2002,15.0469695,11693,7571,4122
Arunachal Pradesh,2002,10.16949153,114,71,43
Assam,2002,9.188417469,2510,1702,808
Bihar,2002,0.841436051,720,426,294
Chandigarh,2002,9.304812834,87,53,34
Chhattisgarh,2002,18.44759948,3950,2629,1321
D & N Haveli,2002,22.42152466,50,32,18
Daman & Diu,2002,9.550561798,17,15,2
Delhi (Ut),2002,7.249070632,1053,643,410
Goa,2002,22.77081798,309,226,83
Gujarat,2002,8.917221913,4644,2706,1938
Haryana,2002,10.07464395,2200,1570,630
Himachal Pradesh,2002,5.384491375,334,208,126
Jammu & Kashmir,2002,1.77008177,184,96,88
Jharkhand,2002,0.980639579,272,153,119
Karnataka,2002,22.73527395,12270,8080,4190
Kerala,2002,30.36869641,9810,7165,2645
Lakshadweep,2002,0,0,0,0
Madhya Pradesh,2002,11.07170369,6899,3579,3320
Maharashtra,2002,14.62096588,14529,9447,5082
Manipur,2002,1.763110307,39,30,9
Meghalaya,2002,2.830587241,67,49,18
Mizoram,2002,7.276736494,66,56,10
Nagaland,2002,1.329394387,27,19,8
Odisha,2002,11.7003973,4388,2631,1757
Puducherry,2002,58.2733813,567,410,157
Punjab,2002,2.036226354,507,397,110
Rajasthan,2002,5.566409597,3248,2092,1156
Sikkim,2002,14.13043478,78,54,24
Tamil Nadu,2002,17.75405798,11244,6983,4261
Tripura,2002,23.85911179,779,493,286
Uttar Pradesh,2002,2.477671805,4250,2326,1924
West Bengal,2002,15.87613514,13007,7124,5883
A & N Islands,2003,29.35064935,113,70,43
Andhra Pradesh,2003,14.51231302,11409,7513,3896
Arunachal Pradesh,2003,7.136563877,81,54,27
Assam,2003,9.365417223,2596,1676,920
Bihar,2003,0.68747059,599,351,248
Chandigarh,2003,10.54247697,103,68,35
Chhattisgarh,2003,18.00680022,3919,2592,1327
D & N Haveli,2003,22.31759657,52,30,22
Daman & Diu,2003,12.63157895,24,18,6
Delhi (Ut),2003,7.711342964,1153,741,412
